team_id,team_name,division,tour,date,equipe_domicile,equipe_exterieur,score_domicile,score_exterieur,is_home
1G,FONTENAY USTT 1 - Phase 1,N2,1,13/09/2025,FONTENAY USTT 1,SAINT LAURENT BLANGY TTI 1,8,0,True
1G,FONTENAY USTT 1 - Phase 1,N2,2,27/09/2025,PARIS 13 TT 1,FONTENAY USTT 1,4,8,False
1G,FONTENAY USTT 1 - Phase 1,N2,3,11/10/2025,FONTENAY USTT 1,ABBEVILLE ACTT 1,1,8,True
1G,FONTENAY USTT 1 - Phase 1,N2,4,15/11/2025,ROUEN SPO 3,FONTENAY USTT 1,,,False
1G,FONTENAY USTT 1 - Phase 1,N2,5,29/11/2025,FONTENAY USTT 1,MULHOUSE TT 1,,,True
1G,FONTENAY USTT 1 - Phase 1,N2,6,13/12/2025,LA ROMAGNE SS 3,FONTENAY USTT 1,,,False
1G,FONTENAY USTT 1 - Phase 1,N2,7,10/01/2026,FONTENAY USTT 1,NEUVES MAISONS 1,,,True
2G,FONTENAY USTT 2 - Phase 1,N3,1,13/09/2025,FONTENAY USTT 2,UCHAUD ENT / NIMES ASPC 1,8,3,True
2G,FONTENAY USTT 2 - Phase 1,N3,2,27/09/2025,ISTRES TT 3,FONTENAY USTT 2,7,7,False
2G,FONTENAY USTT 2 - Phase 1,N3,3,11/10/2025,FONTENAY USTT 2,ASPTT ALBI 1,6,8,True
2G,FONTENAY USTT 2 - Phase 1,N3,4,15/11/2025,REUILLY ESPERANCE 1,FONTENAY USTT 2,,,False
2G,FONTENAY USTT 2 - Phase 1,N3,5,29/11/2025,FONTENAY USTT 2,LESCARIENNE TT 1,,,True
2G,FONTENAY USTT 2 - Phase 1,N3,6,13/12/2025,BIARRITZ GOELANDS 1,FONTENAY USTT 2,,,False
2G,FONTENAY USTT 2 - Phase 1,N3,7,10/01/2026,FONTENAY USTT 2,MERIGNAC SA 1,,,True
1F,FONTENAY USTT 1 - Phase 1,N1,1,13/09/2025,FONTENAY USTT 1,MULHOUSE TT 1,8,2,True
1F,FONTENAY USTT 1 - Phase 1,N1,2,27/09/2025,SAINT DENIS TT93 2,FONTENAY USTT 1,2,8,False
1F,FONTENAY USTT 1 - Phase 1,N1,3,11/10/2025,FONTENAY USTT 1,FOUGERES TT / VERN US ENT 1,8,2,True
1F,FONTENAY USTT 1 - Phase 1,N1,4,15/11/2025,THORIGNE FOUILLARD TT 2,FONTENAY USTT 1,,,False
1F,FONTENAY USTT 1 - Phase 1,N1,5,29/11/2025,FONTENAY USTT 1,LEERS OSTT 2,,,True
1F,FONTENAY USTT 1 - Phase 1,N1,6,13/12/2025,COURBEVOIE STT 1,FONTENAY USTT 1,,,False
1F,FONTENAY USTT 1 - Phase 1,N1,7,10/01/2026,FONTENAY USTT 1,ECHIROLLES-EYBENS TT 1,,,True
2F,FONTENAY USTT 2 - Phase 1,N1,1,13/09/2025,FONTENAY USTT 2,SAINT JEANNAIS / BOURGOIN ENT 1,2,8,True
2F,FONTENAY USTT 2 - Phase 1,N1,2,27/09/2025,ANNECY TT 1,FONTENAY USTT 2,8,5,False
2F,FONTENAY USTT 2 - Phase 1,N1,3,11/10/2025,FONTENAY USTT 2,QUEVILLY / ROUEN ENT 1,2,8,True
2F,FONTENAY USTT 2 - Phase 1,N1,4,15/11/2025,PARIS 20 SP TT 1,FONTENAY USTT 2,,,False
2F,FONTENAY USTT 2 - Phase 1,N1,5,29/11/2025,FONTENAY USTT 2,TTC ARLES / NIMES ENT 1,,,True
2F,FONTENAY USTT 2 - Phase 1,N1,6,13/12/2025,COURBEVOIE STT 2,FONTENAY USTT 2,,,False
2F,FONTENAY USTT 2 - Phase 1,N1,7,10/01/2026,FONTENAY USTT 2,JOUE LES TOURS TT 2,,,True
3F,US FONTENAY TT 3 - Phase 1,PN,1,20/09/2025,CHATENAY ASVTT 1,US FONTENAY TT 3,19,23,False
3F,US FONTENAY TT 3 - Phase 1,PN,2,04/10/2025,US FONTENAY TT 3,PING-NEMOURS 1,23,19,True
3F,US FONTENAY TT 3 - Phase 1,PN,3,11/10/2025,SARTROUVILLE TT 1,US FONTENAY TT 3,24,18,False
3F,US FONTENAY TT 3 - Phase 1,PN,4,15/11/2025,US FONTENAY TT 3,PALAISEAU US 1,,,True
3F,US FONTENAY TT 3 - Phase 1,PN,5,29/11/2025,LEVALLOIS SC 1,US FONTENAY TT 3,,,False
3F,US FONTENAY TT 3 - Phase 1,PN,6,13/12/2025,US FONTENAY TT 3,BOULOGNE BILLAN 1,,,True
3F,US FONTENAY TT 3 - Phase 1,PN,7,10/01/2026,ELANCOURT CTT 1,US FONTENAY TT 3,,,False
3G,US Fontenay TT 3 - Phase 1,PN,1,20/09/2025,KREMLIN BICETRE US 1,US Fontenay TT 3,18,24,False
3G,US Fontenay TT 3 - Phase 1,PN,2,04/10/2025,US Fontenay TT 3,COURBEVOIE STT 3,22,20,True
3G,US Fontenay TT 3 - Phase 1,PN,3,11/10/2025,SQY PING 2,US Fontenay TT 3,24,18,False
3G,US Fontenay TT 3 - Phase 1,PN,4,15/11/2025,US Fontenay TT 3,SP. PARIS 20 TT 1,,,True
3G,US Fontenay TT 3 - Phase 1,PN,5,29/11/2025,LEVALLOIS SPORT 4,US Fontenay TT 3,,,False
3G,US Fontenay TT 3 - Phase 1,PN,6,13/12/2025,US Fontenay TT 3,AL VILLECRESNES 1,,,True
3G,US Fontenay TT 3 - Phase 1,PN,7,10/01/2026,DUCKS BONDOUFLE 2,US Fontenay TT 3,,,False
4G,US FONTENAY TT 4 - Phase 1,R2,1,20/09/2025,VERSAILLES SCTT 3,US FONTENAY TT 4,21,21,False
4G,US FONTENAY TT 4 - Phase 1,R2,2,04/10/2025,US FONTENAY TT 4,BEAUCHAMP CTT 1,20,21,True
4G,US FONTENAY TT 4 - Phase 1,R2,3,11/10/2025,EP 15 1,US FONTENAY TT 4,21,21,False
4G,US FONTENAY TT 4 - Phase 1,R2,4,15/11/2025,US FONTENAY TT 4,PONTHIERRY COMT 2,,,True
4G,US FONTENAY TT 4 - Phase 1,R2,5,29/11/2025,E.P. DE LOGNES 6,US FONTENAY TT 4,,,False
4G,US FONTENAY TT 4 - Phase 1,R2,6,13/12/2025,US FONTENAY TT 4,MONTMAGNY-GROSLAY 2,,,True
4G,US FONTENAY TT 4 - Phase 1,R2,7,10/01/2026,COMBS SENART TT 3,US FONTENAY TT 4,,,False
6G,US FONTENAY TT 6 - Phase 1,R3,1,20/09/2025,MENUCOURT 1,US FONTENAY TT 6,20,22,False
6G,US FONTENAY TT 6 - Phase 1,R3,2,04/10/2025,US FONTENAY TT 6,SANNOIS 1,24,18,True
6G,US FONTENAY TT 6 - Phase 1,R3,3,11/10/2025,MONTESSON TT 1,US FONTENAY TT 6,23,19,False
6G,US FONTENAY TT 6 - Phase 1,R3,4,15/11/2025,US FONTENAY TT 6,BREUILLET 1,,,True
6G,US FONTENAY TT 6 - Phase 1,R3,5,29/11/2025,CORBEIL-ESSONNES 1,US FONTENAY TT 6,,,False
6G,US FONTENAY TT 6 - Phase 1,R3,6,13/12/2025,US FONTENAY TT 6,SERRIS VAL D'EUROPE ATT 1,,,True
6G,US FONTENAY TT 6 - Phase 1,R3,7,10/01/2026,RUEIL ATHLETIC 6,US FONTENAY TT 6,,,False
5G,US FONTENAY TT 5 - Phase 1,R3,1,20/09/2025,LA FRETTE 1,US FONTENAY TT 5,15,27,False
5G,US FONTENAY TT 5 - Phase 1,R3,2,04/10/2025,US FONTENAY TT 5,CONFLANS US 1,27,15,True
5G,US FONTENAY TT 5 - Phase 1,R3,3,11/10/2025,CPS 10eme 1,US FONTENAY TT 5,15,27,False
5G,US FONTENAY TT 5 - Phase 1,R3,4,15/11/2025,US FONTENAY TT 5,SAINT REMY TT 2,,,True
5G,US FONTENAY TT 5 - Phase 1,R3,5,29/11/2025,VINCENNOIS TT 3,US FONTENAY TT 5,,,False
5G,US FONTENAY TT 5 - Phase 1,R3,6,13/12/2025,US FONTENAY TT 5,HERBLAY ASTT 6,,,True
5G,US FONTENAY TT 5 - Phase 1,R3,7,10/01/2026,U S 2 PARIS 1,US FONTENAY TT 5,,,False
4G,US Fontenay TT 4 - Phase 1,PR,1,27/09/2025,ORMESSON US 1,US Fontenay TT 4,19,11,False
4G,US Fontenay TT 4 - Phase 1,PR,2,04/10/2025,US Fontenay TT 4,ES VITRY (2),15,15,True
4G,US Fontenay TT 4 - Phase 1,PR,3,11/10/2025,CVTT 1,US Fontenay TT 4,15,15,False
4G,US Fontenay TT 4 - Phase 1,PR,4,15/11/2025,CHOISY TT 1,US Fontenay TT 4,,,False
4G,US Fontenay TT 4 - Phase 1,PR,5,29/11/2025,US Fontenay TT 4,PONTHIERRY COMT 1,,,True
4G,US Fontenay TT 4 - Phase 1,PR,6,13/12/2025,MONTHYON CTT 1,US Fontenay TT 4,,,False
4G,US Fontenay TT 4 - Phase 1,PR,7,10/01/2026,US Fontenay TT 4,ENT. ROISSY TT / MOUROUX TT,,,True
7G,FONTENAYSIENNE US TT 7 - Phase 1,PR,1,26/09/2025,FONTENAYSIENNE US TT 7,PERREUX APP 3,25,17,True
7G,FONTENAYSIENNE US TT 7 - Phase 1,PR,2,03/10/2025,AS THIAIS TT 5,FONTENAYSIENNE US TT 7,17,25,False
7G,FONTENAYSIENNE US TT 7 - Phase 1,PR,3,10/10/2025,BRY PSC 1,FONTENAYSIENNE US TT 7,22,20,False
7G,FONTENAYSIENNE US TT 7 - Phase 1,PR,4,14/11/2025,FONTENAYSIENNE US TT 7,ES VITRY 2,,,True
7G,FONTENAYSIENNE US TT 7 - Phase 1,PR,5,28/11/2025,CHOISY TT 1,FONTENAYSIENNE US TT 7,,,False
7G,FONTENAYSIENNE US TT 7 - Phase 1,PR,6,12/12/2025,FONTENAYSIENNE US TT 7,MAISONS-ALFORT TT 5,,,True
7G,FONTENAYSIENNE US TT 7 - Phase 1,PR,7,09/01/2026,FRESNES AASF 1,FONTENAYSIENNE US TT 7,,,False
10G,FONTENAYSIENNE US TT 10 - Phase 1,D1,1,26/09/2025,FONTENAYSIENNE US TT 10,AL VILLECRESNES TT 5,35,25,True
10G,FONTENAYSIENNE US TT 10 - Phase 1,D1,2,03/10/2025,AS THIAIS TT 6,FONTENAYSIENNE US TT 10,32,28,False
10G,FONTENAYSIENNE US TT 10 - Phase 1,D1,3,10/10/2025,PLESSIS P3T 3,FONTENAYSIENNE US TT 10,32,28,False
10G,FONTENAYSIENNE US TT 10 - Phase 1,D1,4,14/11/2025,FONTENAYSIENNE US TT 10,CHARENTON TT 7,,,True
10G,FONTENAYSIENNE US TT 10 - Phase 1,D1,5,28/11/2025,TT VINCENNOIS 5,FONTENAYSIENNE US TT 10,,,False
10G,FONTENAYSIENNE US TT 10 - Phase 1,D1,6,12/12/2025,FONTENAYSIENNE US TT 10,VGA ST MAUR US 5,,,True
10G,FONTENAYSIENNE US TT 10 - Phase 1,D1,7,09/01/2026,CRETEIL USTT 3,FONTENAYSIENNE US TT 10,,,False
8G,FONTENAYSIENNE US TT 8 - Phase 1,D1,1,26/09/2025,FONTENAYSIENNE US TT 8,PERREUX APP 4,33,27,True
8G,FONTENAYSIENNE US TT 8 - Phase 1,D1,2,03/10/2025,BREVANNAISE AS 3,FONTENAYSIENNE US TT 8,30,30,False
8G,FONTENAYSIENNE US TT 8 - Phase 1,D1,3,10/10/2025,CACHAN CO 4,FONTENAYSIENNE US TT 8,21,36,False
8G,FONTENAYSIENNE US TT 8 - Phase 1,D1,4,14/11/2025,FONTENAYSIENNE US TT 8,FRESNES AASF 2,,,True
8G,FONTENAYSIENNE US TT 8 - Phase 1,D1,5,28/11/2025,IVRY US 1,FONTENAYSIENNE US TT 8,,,False
8G,FONTENAYSIENNE US TT 8 - Phase 1,D1,6,12/12/2025,FONTENAYSIENNE US TT 8,AL VILLECRESNES TT 6,,,True
8G,FONTENAYSIENNE US TT 8 - Phase 1,D1,7,09/01/2026,ES VITRY 4,FONTENAYSIENNE US TT 8,,,False
9G,FONTENAYSIENNE US TT 9 - Phase 1,D1,1,26/09/2025,FONTENAYSIENNE US TT 9,AL VILLECRESNES TT 4,27,31,True
9G,FONTENAYSIENNE US TT 9 - Phase 1,D1,2,03/10/2025,NOGENT TT 4,FONTENAYSIENNE US TT 9,28,32,False
9G,FONTENAYSIENNE US TT 9 - Phase 1,D1,3,10/10/2025,VGA ST MAUR US 6,FONTENAYSIENNE US TT 9,32,28,False
9G,FONTENAYSIENNE US TT 9 - Phase 1,D1,4,14/11/2025,FONTENAYSIENNE US TT 9,ES VITRY 3,,,True
9G,FONTENAYSIENNE US TT 9 - Phase 1,D1,5,28/11/2025,ALFORTVILLE US 2,FONTENAYSIENNE US TT 9,,,False
9G,FONTENAYSIENNE US TT 9 - Phase 1,D1,6,12/12/2025,FONTENAYSIENNE US TT 9,MAISONS-ALFORT TT 7,,,True
9G,FONTENAYSIENNE US TT 9 - Phase 1,D1,7,09/01/2026,PLESSIS P3T 2,FONTENAYSIENNE US TT 9,,,False
13G,FONTENAYSIENNE US TT 13 - Phase 1,D3,1,26/09/2025,PERREUX APP 6,FONTENAYSIENNE US TT 13,26,34,False
13G,FONTENAYSIENNE US TT 13 - Phase 1,D3,2,03/10/2025,FONTENAYSIENNE US TT 13,AS THIAIS TT 10,34,23,True
13G,FONTENAYSIENNE US TT 13 - Phase 1,D3,3,10/10/2025,FONTENAYSIENNE US TT 13,ST MAURICE TT 4,28,31,True
13G,FONTENAYSIENNE US TT 13 - Phase 1,D3,4,14/11/2025,VGA ST MAUR US 9,FONTENAYSIENNE US TT 13,,,False
13G,FONTENAYSIENNE US TT 13 - Phase 1,D3,5,28/11/2025,FONTENAYSIENNE US TT 13,PLESSIS P3T 7,,,True
13G,FONTENAYSIENNE US TT 13 - Phase 1,D3,6,12/12/2025,ES VITRY 7,FONTENAYSIENNE US TT 13,,,False
13G,FONTENAYSIENNE US TT 13 - Phase 1,D3,7,09/01/2026,FONTENAYSIENNE US TT 13,ALFORTVILLE US 4,,,True
